3	140
10072	138649	105818
10072	084684	047459
103	103697	063017
103	030258	031118
1062	034865	065136
1062	031728	006557
1228	021264	029088
1228	110269	109122
1239	096905	077503
1239	062576	085178
1305	113145	010939
1305	103327	083832
1454	044557	037050
1454	017269	079474
1614	132935	157387
1614	053062	027276
1624	062452	090277
1624	017027	105842
1747	094206	023658
1747	083277	111742
1757	053239	044981
1757	010092	009205
1947	018356	115378
1947	019091	030562
1956	031024	136947
1956	047013	013777
1962	088161	143903
1962	082324	112818
2014	075322	032197
2014	147524	079824
206	083342	122731
206	052487	114163
2061	104126	088451
2061	105356	155419
21	124672	113297
21	087818	012938
2245	030982	160974
2245	040361	120098
2828	165325	167658
2828	179158	174887
2999	126557	039302
2999	157348	048398
3043	056087	060782
3043	116157	019648
3145	131708	080102
3145	008280	038565
3356	014560	066664
3356	031264	139493
3491	056532	091035
3491	051288	155001
3527	177907	175040
3527	170959	171742
3557	174675	167297
3557	179901	176021
3578	161278	058962
3578	131385	131746
3706	014988	003774
3706	045665	001507
3727	117142	056373
3727	080241	150296
4154	018986	021422
4154	088864	007602
4221	159610	160064
4221	029653	115428
4321	123201	111783
4321	105650	150650
4373	151220	031178
4373	002664	117811
4407	000038	137059
4407	133084	076227
4986	125043	075672
4986	140396	073645
4987	081583	031573
4987	124511	155013
5125	040125	051636
5125	079183	157683
5239	083040	068497
5239	060584	008545
5549	027110	036452
5549	124780	086034
5656	148905	033056
5656	131371	049175
5840	188434	189192
5840	182739	196018
5927	000098	052681
5927	149842	135389
6044	009102	147022
6044	089139	114730
6135	187541	191070
6135	197395	189193
6185	189469	194670
6185	190960	183297
6365	035454	107271
6365	150621	131990
6369	063975	092070
6369	135319	047098
64	011839	017192
64	151439	065702
6555	033725	020997
6555	076358	143839
6628	139071	161659
6628	120529	162085
6633	094337	003143
6633	078620	114467
6637	099541	024632
6637	057312	096359
6736	160181	065083
6736	022950	161494
6789	202230	202031
6789	191711	187569
6811	107190	116939
6811	110530	007349
7071	044332	092757
7071	162019	037048
7153	024185	078000
7153	058326	078066
7195	034248	110762
7195	157644	105844
7418	129397	118401
7418	139191	107232
7439	201538	186189
7439	198871	197660
7867	025373	087123
7867	018291	044856
8231	197841	186669
8231	186976	190065
8779	002397	011574
8779	120315	125369
8827	032685	115123
8827	069702	021437
8834	020395	124216
8834	151435	086429
8966	096114	156078
8966	039654	129407
9187	028827	041511
9187	074550	068873
9669	085664	156977
9669	114295	035081
9733	154302	120177
9733	150148	050772
10072	084684	5840	182739
10072	138649	1239	062576
103	103697	6555	033725
103	031118	3578	131746
1062	065136	9733	154302
1062	034865	6633	094337
1228	021264	8827	115123
1228	110269	3356	031264
1239	077503	6555	033725
1239	085178	1747	023658
1305	083832	1962	143903
1305	010939	2828	179158
1454	079474	1614	132935
1454	037050	21	124672
1614	157387	10072	084684
1614	132935	7867	018291
1624	105842	3491	056532
1624	062452	7418	107232
1747	023658	2828	167658
1747	111742	1228	029088
1757	009205	8779	002397
1757	053239	6185	194670
1947	030562	3706	001507
1947	018356	5125	079183
1956	136947	64	017192
1956	031024	1614	053062
1962	112818	4373	117811
1962	143903	3578	161278
2014	079824	7439	186189
2014	147524	6555	033725
206	114163	3706	001507
206	083342	4987	124511
2061	105356	5125	051636
2061	104126	4321	105650
21	087818	7195	105844
21	124672	4154	007602
2245	040361	1747	023658
2245	160974	103	063017
2828	174887	6135	187541
2828	167658	5840	182739
2999	126557	103	031118
2999	157348	6633	114467
3043	056087	1947	019091
3043	060782	6369	092070
3145	080102	4321	150650
3145	131708	5927	000098
3356	139493	5239	083040
3356	066664	6044	089139
3491	056532	4987	124511
3491	155001	3578	131746
3527	175040	1614	132935
3527	177907	21	012938
3557	176021	4321	105650
3557	179901	3145	131708
3578	161278	6135	189193
3578	058962	1454	017269
3706	014988	6555	143839
3706	001507	1614	157387
3727	056373	3356	066664
3727	080241	7071	162019
4154	021422	1454	037050
4154	007602	5125	157683
4221	160064	21	113297
4221	115428	6789	202031
4321	111783	7867	018291
4321	105650	3557	179901
4373	031178	2245	120098
4373	117811	6185	194670
4407	133084	6789	202230
4407	137059	3145	080102
4986	075672	1228	109122
4986	140396	7153	078066
4987	081583	5549	027110
4987	155013	1956	031024
5125	157683	6365	131990
5125	079183	7071	037048
5239	068497	4321	111783
5239	083040	4221	160064
5549	036452	10072	138649
5549	124780	6736	161494
5656	131371	3491	155001
5656	148905	8231	186976
5840	189192	3706	045665
5840	188434	4407	137059
5927	149842	21	087818
5927	000098	1757	053239
6044	147022	4154	018986
6044	114730	6633	094337
6135	187541	6811	116939
6135	191070	10072	047459
6185	183297	6736	065083
6185	190960	8834	086429
6365	131990	1614	157387
6365	035454	6789	202031
6369	135319	6633	094337
6369	047098	7867	018291
64	011839	8779	125369
64	151439	3145	038565
